[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64-32 --kdir /mnt/m2data/linux-worktrees/v6.17 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.17
Detected kernel version: 6.17.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv32', compat=True, ...)
[D] compat_sys_call_table[178]: Symbol("__riscv_sys_gettid" at 0xffffffff8003f4fc, type=FUNC, size=0x1a)
[D] compat_sys_call_table[179]: Symbol("__riscv_compat_sys_sysinfo" at 0xffffffff80040fe4, type=FUNC, size=0x18)
[D] compat_sys_call_table[180]: Symbol("__riscv_compat_sys_mq_open" at 0xffffffff804679a4, type=FUNC, size=0xe4)
[D] compat_sys_call_table[181]: Symbol("__riscv_sys_mq_unlink" at 0xffffffff80467658, type=FUNC, size=0x15c)
[D] compat_sys_call_table[182]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[183]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[184]: Symbol("__riscv_compat_sys_mq_notify" at 0xffffffff80467a88, type=FUNC, size=0x94)
[D] compat_sys_call_table[185]: Symbol("__riscv_compat_sys_mq_getsetattr" at 0xffffffff80467b1c, type=FUNC, size=0x1c)
[D] compat_sys_call_table[186]: Symbol("__riscv_sys_msgget" at 0xffffffff8045d790, type=FUNC, size=0x5e)
[D] compat_sys_call_table[187]: Symbol("__riscv_compat_sys_msgctl" at 0xffffffff8045d80c, type=FUNC, size=0x1c)
[D] compat_sys_call_table[188]: Symbol("__riscv_compat_sys_msgrcv" at 0xffffffff8045db30, type=FUNC, size=0x2a)
